               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11643,            0.083152,                   0,           0.0003125,           0.0059761,          0.00015722,          4.7126e-05,             0.12302,            0.090073,                   0,              0.0865,              0.0015,              0.0015
                   1,             0.12495,             0.08355,                   0,          0.00010417,            0.001992,          5.2251e-05,          5.2251e-06,             0.12266,            0.087516,                   0,            0.072085,           0.0030847,           0.0030847
                   2,             0.12467,            0.092056,                   0,          0.00010417,            0.001992,          5.2234e-05,          1.0447e-05,             0.12176,            0.086121,                   0,            0.057653,           0.0046535,           0.0046535
                   3,             0.12684,            0.087781,                   0,          0.00020833,           0.0039841,          0.00010472,          1.5692e-05,             0.12039,            0.084315,                   0,            0.043206,           0.0062064,           0.0062064
                   4,             0.12107,            0.094456,                   0,             0.00125,            0.023904,          0.00067354,          0.00014787,             0.11693,            0.084913,                   0,            0.028744,           0.0077436,           0.0077436
                   5,             0.11412,            0.087493,                   0,             0.00125,            0.023904,          0.00067354,          0.00014787,             0.11693,            0.084913,                   0,            0.014265,           0.0092649,           0.0092649
                   6,             0.11824,            0.095866,                   0,           0.0073958,             0.14143,           0.0057704,            0.001178,             0.11334,            0.078569,                   0,            0.009703,            0.009703,            0.009703
                   7,             0.11124,            0.090396,                   0,           0.0073958,             0.14143,           0.0057704,            0.001178,             0.11334,            0.078569,                   0,            0.009703,            0.009703,            0.009703
                   8,             0.11482,             0.10037,                   0,            0.059058,             0.11554,            0.024691,           0.0048079,             0.11161,            0.066332,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,             0.11285,             0.08342,                   0,            0.059058,             0.11554,            0.024691,           0.0048079,             0.11161,            0.066332,                   0,            0.009604,            0.009604,            0.009604
                  10,             0.11549,            0.081166,                   0,            0.068551,             0.29283,            0.048926,            0.010162,             0.11042,            0.064823,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,             0.11378,             0.07927,                   0,            0.068551,             0.29283,            0.048926,            0.010162,             0.11042,            0.064823,                   0,            0.009505,            0.009505,            0.009505
                  12,              0.1045,            0.076224,                   0,             0.11587,             0.24303,            0.077165,            0.017042,             0.10605,            0.062676,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,             0.10421,            0.069929,                   0,             0.11587,             0.24303,            0.077165,            0.017042,             0.10605,            0.062676,                   0,            0.009406,            0.009406,            0.009406
                  14,             0.10235,            0.070886,                   0,             0.20897,             0.26892,             0.14671,            0.031631,             0.10749,            0.060155,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,             0.10709,            0.066631,                   0,             0.20897,             0.26892,             0.14671,            0.031631,             0.10749,            0.060155,                   0,            0.009307,            0.009307,            0.009307
                  16,             0.10415,            0.066681,                   0,             0.14584,             0.35458,            0.085617,             0.01713,             0.11689,            0.051945,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,             0.10395,            0.063334,                   0,             0.14584,             0.35458,            0.085617,             0.01713,             0.11689,            0.051945,                   0,            0.009208,            0.009208,            0.009208
                  18,             0.10473,            0.064042,                   0,            0.023173,             0.13944,            0.013035,           0.0025413,             0.11066,            0.051754,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,             0.10556,            0.066869,                   0,            0.023173,             0.13944,            0.013035,           0.0025413,             0.11066,            0.051754,                   0,            0.009109,            0.009109,            0.009109
                  20,             0.11046,            0.064877,                   0,              0.1316,             0.28486,            0.089327,            0.017988,             0.10077,            0.061268,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.094475,            0.070196,                   0,              0.1316,             0.28486,            0.089327,            0.017988,             0.10077,            0.061268,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.099341,            0.083081,                   0,              0.1299,             0.26892,            0.093113,            0.019223,             0.10308,            0.052908,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.099395,            0.065337,                   0,              0.1299,             0.26892,            0.093113,            0.019223,             0.10308,            0.052908,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.097317,            0.062818,                   0,            0.050039,             0.51594,            0.043115,            0.010653,              0.1078,            0.068946,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.099999,            0.062167,                   0,            0.050039,             0.51594,            0.043115,            0.010653,              0.1078,            0.068946,                   0,            0.008812,            0.008812,            0.008812
                  26,             0.10634,            0.063465,                   0,             0.26316,             0.35657,             0.20765,            0.039952,             0.10047,             0.04643,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.099625,            0.057254,                   0,             0.26316,             0.35657,             0.20765,            0.039952,             0.10047,             0.04643,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.099199,              0.0626,                   0,             0.18424,             0.43625,             0.15404,            0.031018,             0.11098,            0.047579,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,             0.10207,            0.053684,                   0,             0.18424,             0.43625,             0.15404,            0.031018,             0.11098,            0.047579,                   0,            0.008614,            0.008614,            0.008614
                  30,             0.10557,            0.055418,                   0,             0.45739,             0.53586,             0.42301,            0.092314,            0.096764,             0.05471,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.091847,            0.067455,                   0,             0.45739,             0.53586,             0.42301,            0.092314,            0.096764,             0.05471,                   0,            0.008515,            0.008515,            0.008515
                  32,            0.094995,            0.066164,                   0,             0.40963,             0.43426,             0.32181,            0.062822,             0.09283,            0.059334,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.086654,             0.07118,                   0,             0.40963,             0.43426,             0.32181,            0.062822,             0.09283,            0.059334,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.090387,            0.061287,                   0,             0.23887,             0.36255,             0.20093,            0.046756,            0.097086,            0.047084,                   0,           0.0083665,           0.0083665,           0.0083665
