               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13021,            0.065095,                   0,          0.00010753,           0.0028369,          5.3948e-05,          1.6177e-05,             0.12503,            0.067938,                   0,              0.0937,              0.0007,              0.0007
                   1,              0.1257,            0.073655,                   0,          0.00051075,            0.013475,          0.00026717,          6.4644e-05,              0.1197,            0.065396,                   0,            0.086493,           0.0014926,           0.0014926
                   2,             0.12178,            0.069773,                   0,           0.0028226,            0.074468,           0.0016458,          0.00039029,             0.11453,            0.064119,                   0,            0.079277,           0.0022772,           0.0022772
                   3,             0.11556,            0.075965,                   0,            0.016478,             0.43475,            0.023468,           0.0048812,              0.1076,            0.060497,                   0,            0.072054,            0.003054,            0.003054
                   4,             0.10762,            0.068748,                   0,             0.15098,              0.2695,             0.11111,            0.024832,             0.10118,            0.053505,                   0,            0.064823,           0.0038228,           0.0038228
                   5,            0.098665,            0.068951,                   0,            0.088651,             0.40071,            0.071692,            0.018147,            0.099628,            0.071692,                   0,            0.057584,           0.0045837,           0.0045837
                   6,            0.090686,            0.063555,                   0,             0.20754,             0.37021,             0.17132,            0.036664,            0.085584,              0.0633,                   0,            0.050337,           0.0053367,           0.0053367
                   7,            0.087251,            0.063146,                   0,            0.025638,             0.43548,            0.019822,           0.0041007,             0.10528,            0.069549,                   0,            0.043082,           0.0060817,           0.0060817
                   8,            0.086397,            0.062025,                   0,            0.068795,             0.56099,            0.060671,             0.01654,            0.094038,            0.055966,                   0,            0.035819,           0.0068188,           0.0068188
                   9,            0.088119,            0.057141,                   0,             0.13771,              0.2383,            0.097442,            0.025249,             0.10297,            0.043962,                   0,            0.028548,           0.0075481,           0.0075481
                  10,            0.088295,            0.058374,                   0,             0.45597,             0.41915,             0.39411,             0.11469,            0.085327,            0.044111,                   0,            0.021269,           0.0082693,           0.0082693
                  11,            0.086331,            0.060491,                   0,             0.10721,             0.59504,            0.096661,            0.026296,            0.086225,            0.043298,                   0,            0.013983,           0.0089827,           0.0089827
                  12,            0.083874,            0.055791,                   0,             0.38935,             0.46454,             0.41551,             0.16225,            0.082634,            0.042666,                   0,            0.009406,            0.009406,            0.009406
                  13,            0.084421,             0.05555,                   0,             0.18892,             0.38511,             0.19001,              0.0412,             0.07831,            0.044952,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.079462,            0.059736,                   0,             0.32223,             0.57518,              0.3354,             0.13267,            0.079276,            0.045695,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.076526,            0.058159,                   0,             0.11132,             0.52695,             0.10278,            0.026684,            0.088362,            0.043307,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.074671,             0.05592,                   0,             0.52579,             0.63333,             0.58943,              0.2323,            0.086455,            0.056901,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.074827,            0.053005,                   0,             0.50668,              0.5766,             0.53268,             0.15337,            0.071859,            0.049306,                   0,            0.009208,            0.009208,            0.009208
                  18,             0.06974,             0.05166,                   0,             0.47056,             0.54255,             0.46215,             0.14371,            0.063448,            0.045841,                   0,           0.0091585,           0.0091585,           0.0091585
